Month,Year,Title,Topic
6.0,1913.0,"Documents, Reports and Legislation",ML
2.0,2017.0,Does Extending Unemployment Benefits Improve Job Quality?,ML
2.0,2007.0,Does Head Start Improve Children's Life Chances? Evidence from a Regression Discontinuity Design,ML
5.0,2017.0,Does Machine Learning Automate Moral Hazard and Error?,ML
5.0,2017.0,Double/Debiased/Neyman Machine Learning of Treatment Effects,ML
5.0,1952.0,Dynamic Aspects of Oligopoly Price Theory,ML
12.0,1985.0,Early Progress in Estimating Quantitative Economic Relationships in America,ML
3.0,1989.0,Econometrics and the Design of Economic Reform,ML
2.0,1911.0,Economic History and Philology,ML
2.0,2000.0,Economic Imperialism,ML
5.0,2008.0,"Economic Insights from ""Neuroeconomic"" Data",ML
5.0,1991.0,Economic Integration and Endogenous Growth,ML
5.0,2017.0,Economic Research Evolves: Fields and Styles,ML
1.0,1918.0,Economics and Modern Psycholoy: I,ML
5.0,1968.0,"Economics of Inquiring, Communicating, Deciding",ML
2.0,1949.0,Economics of Scheduling for Industrial Mobilization,ML
3.0,1944.0,Economy and Democracy,ML
10.0,1962.0,Education and Investment in Human Capital,ML
2.0,1970.0,Education in Production,ML
12.0,1999.0,"Effort, Wages, and the International Division of Labor",ML
12.0,1999.0,Egalitarianism and the Returns to Education during the Great Transformation of American Education,ML
12.0,1984.0,Eighty-First List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
12.0,1986.0,Eighty-Third List of Doctoral Dissertations in Economics in American Universities and Colleges,ML
9.0,1999.0,Emergence of Money as a Medium of Exchange: An Experimental Study,ML
2.0,1966.0,Employment and Industrialization in Developing Countries,ML
11.0,1950.0,Employment as an Element in the Wage Bargain,ML
1.0,1969.0,Endogenous Technical Progress and Steady Growth,ML
5.0,1998.0,Engaging Students in Quantitative Analysis with Short Case Examples from the Academic and Popular Press,ML
9.0,1989.0,"Entry, Exit, and Diffusion with Learning by Doing",ML
5.0,2014.0,Equalizing Superstars: The Internet and the Democratization of Education,ML
5.0,1969.0,Equilibrium Growth in a Model with Economic Obsolescence of Machines,ML
2.0,1991.0,Equilibrium Wage Dispersion and Interindustry Wage Differentials,ML
5.0,2017.0,Estimating Average Treatment Effects: Supplementary Analyses and Remaining Challenges,ML
9.0,2007.0,Estimating Dynamic Models of Imperfect Competition,ML
3.0,2008.0,Evolution and Intelligent Design,ML
12.0,1980.0,"Experience, Performance, and Earnings",ML
7.0,1999.0,Experienced-Weighted Attraction Learning in Normal Form Games,ML
4.0,1966.0,"Extensions of Arrow's ""Learning by Doing""",ML
3.0,2017.0,FORECASTING WITH MODEL UNCERTAINTY: REPRESENTATIONS AND RISK REDUCTION,ML
12.0,2005.0,Fact-Free Learning,ML
6.0,1941.0,"Farm-Making Costs and the ""Safety Valve"": 1850-60",ML
8.0,1919.0,Federal Operation of Railroads During the War,ML
11.0,2014.0,Fertility Transitions Along the Extensive and Intensive Margins,ML
4.0,1956.0,Firm Progress Ratios,ML
8.0,1970.0,Fiscal Policy in Latin America,ML
1.0,1999.0,Foundations of Incomplete Contracts,ML
4.0,2014.0,Frictionless Technology Diffusion: The Case of Tractors,ML
5.0,2016.0,Front Matter,ML
5.0,2017.0,Front Matter,ML
5.0,2015.0,Front Matter,ML
10.0,1936.0,Front Matter,ML
1.0,1966.0,Further Implications of Learning by Doing,ML
3.0,2008.0,Gambling at Lucky Stores: Empirical Evidence from State Lottery Sales,ML
12.0,1994.0,Generics and New Goods in Pharmaceutical Price Indexes,ML
8.0,1993.0,Geographic Localization of Knowledge Spillovers as Evidenced by Patent Citations,ML
12.0,1957.0,Geographical List of Subscribers,ML
4.0,1887.0,Gold and Prices Since 1873,ML
9.0,1953.0,Graduate Education in Economics,ML
6.0,1998.0,Growth Cycles,ML
2.0,1970.0,Growth Strategies in Semi-Industrial Countries,ML
7.0,1994.0,Growth and Unemployment,ML
12.0,1992.0,Growth in Cities,ML
9.0,1896.0,"Hadley's ""Economics""",ML
12.0,2011.0,Happiness and Time Preference: The Effect of Positive Affect in a Random-Assignment Experiment,ML
4.0,1939.0,Henry Schultz: His Contributions to Economics and Statistics,ML
10.0,2000.0,Hierarchies and the Organization of Knowledge in Production,ML
5.0,2014.0,Housing Assignment with Restrictions: Theory and Evidence from Stanford University's Campus,ML
2.0,2001.0,How Much Did the Liberty Shipbuilders Learn? New Evidence for an Old Case Study,ML
11.0,1914.0,Human Behavior and Economics: A Survey of Recent Literature,ML
12.0,2012.0,"Human Capital Prices, Productivity, and Growth",ML
11.0,2015.0,IDENTIFICATION PROPERTIES OF RECENT PRODUCTION FUNCTION ESTIMATORS,ML
11.0,2011.0,IDEOLOGICAL SEGREGATION ONLINE AND OFFLINE,ML
8.0,2010.0,IMPROVED ACCESS TO FOREIGN MARKETS RAISES PLANT-LEVEL PRODUCTIVITY...FOR SOME PLANTS,ML
1.0,2014.0,ISLAMIC RULE AND THE EMPOWERMENT OF THE POOR AND PIOUS,ML
6.0,2010.0,Identifying Agglomeration Spillovers: Evidence from Winners and Losers of Large Plant Openings,ML
9.0,2018.0,In Search of Labor Demand,ML
5.0,2007.0,Incentives for Managers and Inequality among Workers: Evidence from a Firm-Level Experiment,ML
7.0,1999.0,Incomplete Contracts: Where Do We Stand?,ML
12.0,1977.0,"Index to Volumes 21-45, 1953-1977",ML
2.0,1993.0,Induced Innovation in American Agiculture: A Reconsideration,ML
1.0,2003.0,Inductive Inference: An Axiomatic Approach,ML
2.0,1926.0,"Industrial Invention: Heroic, or Systematic?",ML
5.0,1969.0,"Industrial Research and Development: Characteristics, Costs, and Diffusion of Results",ML
5.0,1951.0,Industrialism and Cultural Values,ML
8.0,1961.0,"Information, Expectations and the Theory of the Firm",ML
8.0,1957.0,Innovation in the Machine Tool Industry,ML
12.0,1986.0,"Installed Base and Compatibility: Innovation, Product Preannouncements, and Predation",ML
10.0,2014.0,Instrumental Variables with Unrestricted Heterogeneity and Continuous Treatment,ML
3.0,1925.0,Intelligence Test Ratings of Occupational Groups,ML
6.0,2013.0,Intergenerational Occupational Mobility in Great Britain and the United States Since 1850,ML
10.0,1966.0,International Trade Theory in a Vintage-Capital Model,ML
12.0,1987.0,Intraindustry Trade: Sources and Effects on Protection,ML
5.0,1974.0,Introducting Freshmen to the Social System,ML
7.0,1987.0,Introductory Price as a Signal of Cost in a Model of Repeat Business,ML
6.0,1993.0,Invention and Bounded Learning by Doing,ML
8.0,1955.0,"Investment Criteria, Productivity, and Economic Development",ML
10.0,1962.0,Investment in Human Capital: A Theoretical Analysis,ML
4.0,1991.0,"Investment under Uncertainty, Irreversibility and the Arrival of Information Over Time",ML
10.0,1947.0,Irving Fisher and Social Science,ML
11.0,1927.0,John Bates Clark: Earlier and Later Phases of his Work,ML
8.0,1950.0,Joseph Alois Schumpeter 1883-1950,ML
9.0,2015.0,KNIGHTIAN ANALYSIS OF THE VICKREY MECHANISM,ML
8.0,1974.0,Karl Marx on the Economic Role of Science,ML
11.0,1976.0,Keynes and Econometrics: On the Interaction between the Macroeconomic Revolutions of the Interwar Period,ML
8.0,2014.0,LEARNING THROUGH NOTICING,ML
3.0,2010.0,"LEARNING-BY-DOING, ORGANIZATIONAL FORGETTING, AND INDUSTRY DYNAMICS",ML
5.0,2016.0,"LEP Language Disability, Immigration Reform, and English-Language Acquisition",ML
5.0,1955.0,Labor Attitudes Toward Industrialization in Underdeveloped Countries,ML
6.0,1939.0,Labor Movements of Great Britain and the United States,ML
1.0,2008.0,Labour Unrest and the Quality of Production: Evidence from the Construction Equipment Resale Market,ML
7.0,1989.0,Learning Rational Expectations Under Computability Constraints,ML
7.0,2014.0,Learning Your Comparative Advantages,ML
6.0,1991.0,Learning and Capacity Expansion under Demand Uncertainty,ML
9.0,1972.0,Learning and Productivity Change in Metal Products,ML
11.0,1996.0,Learning by Doing and the Choice of Technology,ML
5.0,1991.0,Learning by Doing and the Dynamic Effects of International Trade,ML
1.0,1970.0,Learning-by-Doing and Infant Industry Protection,ML
7.0,1998.0,Let's Get Real: A Factor Analytical Approach to Disaggregated Business Cycle Dynamics,ML
10.0,1898.0,"Levasseur's ""L'Ouvrier Américain""",ML
6.0,1936.0,List of Members,ML
10.0,1964.0,List of Members of the Econometric Society,ML
11.0,1990.0,Long Waves and Short Waves: Growth Through Intensive and Extensive Search,ML
5.0,2017.0,L₂-Boosting for Economic Applications,ML
5.0,2015.0,Machine Learning Methods for Demand Estimation,ML
9.0,2002.0,Managing Dynamic Competition,ML
12.0,2003.0,Maps of Bounded Rationality: Psychology for Behavioral Economics,ML
2.0,1977.0,Marginal Cost Pricing in the 1930's,ML
7.0,2018.0,"Marketplaces, Markets, and Market Design",ML
3.0,1945.0,Marxism and Economics: Sweezy and Robinson,ML
9.0,2004.0,Measuring Expectations,ML
7.0,2007.0,Measuring Peer Effects on Youth Smoking Behaviour,ML
10.0,1918.0,Mercantile and Agricultural Economics,ML
11.0,2018.0,Mismatch of Talent,ML
5.0,2008.0,Modeling Macroeconomies as Open-Ended Dynamic Systems of Interacting Agents,ML
5.0,2016.0,Modernizing Federal Economic Statistics,ML
3.0,1918.0,Motives in Economic Life,ML
11.0,1907.0,Municipal Employment of Unemployed Women in London,ML
1.0,2015.0,NECESSITY IS THE MOTHER OF INVENTION: INPUT SUPPLIES AND DIRECTED TECHNICAL CHANGE,ML
9.0,2011.0,NONPARAMETRIC INSTRUMENTAL REGRESSION,ML
4.0,2017.0,Narrative Economics,ML
5.0,1918.0,"Nassau W. Senior, British Economist, in the Light of Recent Researches: II",ML
4.0,1966.0,Neoclassical Growth with Fixed Factor Proportions,ML
7.0,2016.0,Network Structure and the Aggregation of Information: Theory and Evidence from Indonesia,ML
3.0,1935.0,New Books,ML
10.0,1910.0,New Publications,ML
11.0,1992.0,News Notes,ML
6.0,2013.0,"Nonconvexities, Retirement, and the Elasticity of Labor Supply",ML
5.0,1967.0,Notes on Marxian Model of Capital Accumulation,ML
4.0,1923.0,Notes on the Life and Work of Simon Nelson Patten,ML
12.0,2001.0,"Nursery Cities: Urban Diversity, Process Innovation, and the Life Cycle of Products",ML
11.0,2012.0,ORGANIZATION AND INFORMATION: FIRMS' GOVERNANCE CHOICES IN RATIONAL-EXPECTATIONS EQUILIBRIUM,ML
8.0,1961.0,Objective Functions and Models of Corporate Optimization,ML
2.0,1973.0,On Bernoullian Production Sets,ML
12.0,1985.0,On Method in U.S. Economics a Century Earlier,ML
10.0,1952.0,On a Quantitative Method in Production Planning and Scheduling,ML
3.0,1989.0,On the Covariance Structure of Earnings and Hours Changes,ML
3.0,1983.0,On the Misuse of Accounting Rates of Return to Infer Monopoly Profits,ML
7.0,2006.0,On the Nature of Capital Adjustment Costs,ML
8.0,1996.0,On the Timing and Efficiency of Creative Destruction,ML
5.0,1995.0,One Quarter of GDP is Persuasion,ML
9.0,1960.0,Operations Research,ML
3.0,1994.0,"Opportunism in Multilateral Vertical Contracting: Nondiscrimination, Exclusivity, and Uniformity",ML
3.0,2000.0,Optimal Adoption of Complementary Technologies,ML
7.0,2007.0,Optimal Information Disclosure in Auctions and the Handicap Auction,ML
5.0,1979.0,Optimal Search for the Best Alternative,ML
5.0,1988.0,Optimism Invites Deception,ML
11.0,2006.0,Organization and Inequality in a Knowledge Economy,ML
5.0,1957.0,Organization and Technology in Soviet Metalworking: Some Conditioning Factors,ML
1.0,2017.0,PROGRAM EVALUATION AND CAUSAL INFERENCE WITH HIGH-DIMENSIONAL DATA,ML
5.0,2013.0,PROXIMITY AND INVESTMENT,ML
5.0,1948.0,Patent Policy,ML
3.0,2009.0,Peers at Work,ML
6.0,1911.0,Periodicals,ML
9.0,1957.0,Periodicals,ML
6.0,1921.0,Periodicals,ML
9.0,1965.0,Periodicals,ML
5.0,2016.0,Personalized Risk Assessments in the Criminal Justice System,ML
5.0,1950.0,Planning Defense Production,ML
5.0,1998.0,Power in a Theory of the Firm,ML
5.0,2015.0,Prediction Policy Problems,ML
3.0,1997.0,"Prediction, Optimization, and Learning in Repeated Games",ML
9.0,1995.0,Preliminary Announcement of the Program,ML
11.0,1983.0,Premiums for High Quality Products as Returns to Reputations,ML
10.0,1964.0,Private versus Public Education: A Classical Economic Dispute,ML
5.0,1975.0,Problems of Technology Absorption in Chinese Industry,ML
4.0,2011.0,Procedural Analysis of Choice Rules with Applications to Bounded Rationality,ML
5.0,1980.0,"Production Sets, Technological Knowledge, and R & D: Fragile and Overworked Constructs for Analysis of Productivity Growth?",ML
4.0,1963.0,Production and Cost Functions: An Econometric Survey,ML
5.0,1977.0,Productivity Change and Labor Absorption in Japanese Cotton Spinning 1891-1935*,ML
5.0,2001.0,Productivity Differences,ML
1.0,2003.0,Productivity Dynamics with Technology Choice: An Application to Automobile Assembly,ML
7.0,2017.0,Productivity and Quality in Health Care: Evidence from the Dialysis Industry,ML
5.0,2016.0,Productivity and Selection of Human Capital with Machine Learning,ML
7.0,1991.0,Program of the 1990 North American Winter Meeting of the Econometric Society,ML
1.0,1995.0,Program of the 1994 North American Summer Meeting of the Econometric Society,ML
9.0,1996.0,Program of the 1996 Winter Meetings of the Econometric Society,ML
11.0,1998.0,Program of the Fifteenth Latin American Meeting of the Econometric Society,ML
6.0,1926.0,Progress and Problems of Australian Economics,ML
5.0,2001.0,Projecting the Economic Impact of the Internet,ML
12.0,1990.0,Property Rights and the Nature of the Firm,ML
5.0,2004.0,"Property Rights to Technical Knowledge in Premodern Europe, 1300-1800",ML
6.0,1939.0,Pure Capitalism and the Disappearance of the Middle Class,ML
7.0,2010.0,RISK AND RATIONALITY: UNCOVERING HETEROGENEITY IN PROBABILITY DISTORTION,ML
9.0,1986.0,"Rational Expectations Equilibria, Learning, and Model Specification",ML
9.0,1918.0,Recent Developments in the British Labor Movement,ML
8.0,1920.0,Recent Textbooks,ML
4.0,2016.0,Recursive Lexicographical Search: Finding All Markov Perfect Equilibria of Finite State Directional Dynamic Games,ML
10.0,1891.0,Relation of Trades-Unions to Apprentices,ML
4.0,1956.0,"Report of the Ann Arbor Meeting, August 29-September 1, 1955",ML
7.0,1963.0,"Report of the Ann Arbor Meeting, September 9-11, 1962",ML
4.0,1938.0,"Report of the Atlantic City and Indianapolis Meetings, December 27-30, 1937",ML
7.0,1952.0,"Report of the Boston Meeting, December 26-29, 1951",ML
4.0,1953.0,"Report of the East Lansing Meeting, September 2-5, 1952",ML
7.0,1956.0,"Report of the New York Meeting, December 27-30, 1955",ML
10.0,1958.0,"Report of the Philadelphia Meeting, December 17-30, 1957",ML
3.0,1943.0,Report of the Secretary for the Year 1942,ML
9.0,1997.0,Reputation and Experimentation in Repeated Games With Two Long-Run Players,ML
4.0,2003.0,Reputation and Survival: Learning in a Dynamic Signalling Model,ML
5.0,1962.0,"Research and Development, New Products, and Productivity Change",ML
10.0,1969.0,Response of Paid Student Subjects to Differential Behaviour of Robots in Bifurcated Duopoly Games,ML
3.0,1986.0,Retail Pricing and Clearance Sales,ML
7.0,1895.0,Risk as an Economic Factor,ML
7.0,1997.0,"Risk, Financial Markets, and Human Capital in a Developing Country",ML
3.0,1925.0,Round Table Conferences,ML
3.0,1999.0,Rules of Thumb versus Dynamic Programming,ML
8.0,2013.0,SPECULATION AND RISK SHARING WITH NEW FINANCIAL ASSETS,ML
5.0,2002.0,Schumpeterian Growth Theory and the Dynamics of Income Inequality,ML
4.0,2012.0,"Screening, Competition, and Job Design: Economic Origins of Good Jobs",ML
4.0,2011.0,Search Dynamics in Consumer Choice under Time Pressure: An Eye- Tracking Study,ML
12.0,2015.0,Self-Control at Work,ML
4.0,2017.0,Sellers with Misspecified Models,ML
1.0,1913.0,Sequence in Economics Courses at the University of Chicago,ML
12.0,1977.0,Seventy-Fourth List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
12.0,1979.0,Seventy-Sixth List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
12.0,1982.0,Seventy-ninth List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
2.0,1954.0,Silhouette Functions of Short-Run Cost Behavior,ML
5.0,1962.0,Simulation and Long-Range Planning for Resource Allocation,ML
12.0,1960.0,Simulation of Individual and Group Behavior,ML
12.0,1960.0,Simulation of the Industry and The Firm,ML
12.0,1971.0,Sixty-Eighth List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
9.0,1964.0,Sixty-First List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
12.0,1972.0,Sixty-Ninth List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
12.0,1970.0,Sixty-Seventh List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
9.0,1969.0,Sixty-Sixth List of Doctoral Dissertations in Political Economy in American Universities and Colleges,ML
8.0,1922.0,Skill,ML
9.0,2010.0,Social Comparisons and Contributions to Online Communities: A Field Experiment on MovieLens,ML
7.0,2009.0,Social Connections and Incentives in the Workplace: Evidence from Personnel Data,ML
4.0,2010.0,Social Incentives in the Workplace,ML
11.0,2007.0,Social Learning in One-Arm Bandit Problems,ML
8.0,2005.0,Social Preferences and the Response to Incentives: Evidence from Personnel Data,ML
11.0,1910.0,Social Productivity Versus Private Acquisition,ML
6.0,1945.0,Sociological Elements in Veblen's Economic Theory,ML
3.0,1930.0,Some Economic and Social Accompaniments of the Mechanization of Industry,ML
12.0,1960.0,Some Institutional Aspects of the Wealth of Nations,ML
1.0,1916.0,Some Larger Aspects of the Trade in War Materials,ML
7.0,1911.0,Some Phases of Tax Reform in Illinois,ML
10.0,1888.0,Some Precedents Followed by Alexander Der Hamilton,ML
4.0,2017.0,Sorting Multidimensional Types: Theory and Application,ML
11.0,1914.0,Specific Productivity,ML
4.0,1994.0,"Stationarity, Rationalizability and Bargaining",ML
9.0,2001.0,"Stochastic Algorithms, Symmetric Markov Perfect Equilibrium, and the 'Curse' of Dimensionality",ML
6.0,2011.0,"Strike Three: Discrimination, Incentives, and Evaluation",ML
11.0,2012.0,THE POLITICAL ECONOMY OF DEFORESTATION IN THE TROPICS,ML
5.0,1972.0,TIPS and Technical Change in Classroom Instruction,ML
6.0,2003.0,Team Incentives and Worker Heterogeneity: An Empirical Analysis of the Impact of Teams on Productivity and Participation,ML
9.0,1996.0,Technical Change and Human-Capital Returns and Investments: Evidence from the Green Revolution,ML
10.0,1961.0,Technical Change and the Rate of Imitation,ML
2.0,2002.0,"Technological Acceleration, Skill Transferability, and the Rise in Residual Inequality",ML
4.0,1999.0,Technological Change and Wages: An Interindustry Analysis,ML
9.0,2003.0,Technological Change and the Stock Market,ML
3.0,1999.0,Technological Revolutions,ML
8.0,1986.0,Technology Adoption in the Presence of Network Externalities,ML
3.0,1973.0,"Technology Diffusion, Substitution, and X-Efficiency",ML
5.0,1968.0,Technology for Society,ML
8.0,1976.0,"Technology, Growth, and History",ML
11.0,2018.0,Temporary Protection and Technology Adoption,ML
