ArchiveYear	CalFireIncident	Counties	Latitude	Longitude	year	month	day	MajorIncident	AdminUnit	CanonicalUrl	ConditionStatement	ControlStatement	CountyIds	Extinguished	FuelType	Location	Name	SearchDescription	SearchKeywords	Started	UniqueId	Updated	Group	Selected
2014.0	True	Nevada	39.3918	-120.0805	2014	08	18	False	US Forest Service - Tahoe National Forest	/incidents/2014/8/18/boca-fire/			29	2014-08-19T16:45:00Z		off Interstate 80 at Hirschdale, east of Truckee	Boca Fire	The Boca Fire started on August 19, 2014 and burned 84 acres off Interstate 80 at Hirschdale, east of Truckee in Nevada County.	Nevada County, Tahoe National Forest, USFS, August 2014, Truckee, Hirschdale, Hirschdale Fire, Boca Fire	2014-08-18T10:00:00Z	605ac5e1-9903-45ba-872d-3d9c437457d7	2014-08-19T16:45:00Z	G1	No
2019.0	True	Butte	39.622137	-121.693472	2019	09	28	False	CAL FIRE Butte/ Butte County Fire	/incidents/2019/9/28/hwy-fire/			4	2019-09-28T18:40:00Z		Off of Hwy 99 and Hwy 149, Southeast of Chico	Hwy Fire	Hwy Fire started on September 28, 2019 off of Hwy 99 and Hwy 149, Southeast of Chico in Butte County.		2019-09-28T17:48:10Z	b8e5a940-0fb5-4c63-93ab-a855cfdc4e0c	2019-10-02T16:03:59.35Z	G1	No
2018.0	True	Contra Costa	37.81111	-121.7944	2018	11	15	False	CAL FIRE Santa Clara Unit	/incidents/2018/11/15/morgan-fire/			7	2019-01-04T08:44:00Z		Off Morgan Territory Rd & Storybook Ln, east of San Ramon	Morgan Fire	The Morgan Fire started on November 15, 2018 off Morgan Territory Rd & Storybook Ln, east of San Ramon (Contra Costa County). The fire was contained on November 16, 2018 at 20 acres.	November 2018	2018-11-15T13:31:00Z	e83e7346-5b83-4e3a-845c-867fd84d17f0	2019-01-04T08:44:00Z	G1	No
2013.0	True	Fresno	36.763367	-119.558244	2013	06	13	False	CAL FIRE/Fresno County Fire	/incidents/2013/6/13/michelle-fire/			10	2013-06-13T21:30:00Z		off McKinley Ave & Academy Ave, north of Sanger	Michelle Fire	The Michelle Fire burned in June 2013, off McKinley Ave and Academy Ave, north of Sanger in Fresno County.	Michelle Fire, June 2013, McKinley Ave, Academy Ave, Sanger, Fresno County	2013-06-13T15:54:00Z	953f17a1-2034-467b-b48c-28da1a9af60e	2013-06-13T21:30:00Z	G1	No
2017.0	True	Los Angeles	34.29931	-118.37539	2017	06	03	False	Los Angeles County Fire Department	/incidents/2017/6/3/5-fire/			19	2018-01-09T10:24:00Z		I-5, North of Lake Hughes Rd, Community of Cataic	5 Fire	The 5 Fire started on June 3, 2017 I-5, North of Lake Hughes Rd, Community of Cataic in Los Angeles County and burned 25 acres.	I-5, North of Lake Hughes Rd, Community of Cataic, 5 Fire, June 2017	2017-06-03T15:39:00Z	14e249f0-f21c-4d2f-bc5f-68d5d177e849	2018-01-09T10:24:00Z	G1	No
2017.0	True	Riverside	33.8826	-117.00589	2017	10	23	False	CAL FIRE/Riverside County Fire	/incidents/2017/10/23/extension-fire/			33	2018-01-09T13:42:00Z		Lambs Canyon Road & Gilman Springs Road, Gilman Springs	Extension Fire	The Extension Fire started October 23, 2017 off Lambs Canyon Road & Gilman Springs Road, Gilman Springs and burned 50 acres.	Lambs Canyon Road & Gilman Springs Road, Gilman Springs, Riverside County, October 2017	2017-10-23T10:31:00Z	33bf7f90-edd9-4bf7-a079-561d5dad25c9	2018-01-09T13:42:00Z	G1	No
2018.0	True	Placer	38.82426	-121.451307	2018	08	01	False	CAL FIRE Nevada-Yuba-Placer Unit	/incidents/2018/8/1/sunset-fire/			31	2019-01-04T09:28:00Z		off Sunset Blvd. West and South Brewer Rd, northwest of Roseville	Sunset Fire	The Sunset fire started August 1, 2018 off Sunset Blvd. West and South Brewer Rd, northwest of Roseville (Placer County) and burned 700 acres. It was contained on August 1, 2018.	Sunset Fire, Placer County, August 1, 2018	2018-08-01T13:11:00Z	4f3f4f66-871c-4d50-bd3f-f641210552c9	2019-01-04T09:28:00Z	G1	No
2016.0	True	Siskiyou	41.6314	-122.7933	2016	09	12	False	CAL FIRE Siskiyou Unit	/incidents/2016/9/12/moffett-fire/			47	2016-09-13T18:30:00Z		off of Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones	Moffett Fire	The Moffett Fire started on September 12, 2016 off of Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones (Siskiyou County) and burned 32 acres.	Moffett Fire, Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones (Siskiyou County)	2016-09-12T16:28:00Z	ed16bf52-f886-4384-b841-2e755234aa29	2016-09-13T18:30:00Z	G1	No
2017.0	True	Santa Clara	36.99092	-121.59899	2017	09	03	False	CAL FIRE Santa Clara Unit/Gilroy Fire Dept	/incidents/2017/9/3/bally-fire/			43	2018-01-09T12:50:00Z		Ballybunion Ct, Gilroy	Bally Fire	The Bally Fire on September 3 2017 off Ballybunion Court, Gilroy (Santa Clara County) and burned 100 acres.	Ballybunion Fire, Bally Fire, September 3 2017, Ballybunion Ct, Gilroy, Santa Clara county	2017-09-03T19:17:00Z	7b02d757-4f96-4616-99d5-04e4eaa34440	2018-01-09T12:50:00Z	G1	No
2013.0	True	Solano	38.08744	-122.13802	2013	06	18	False	CAL FIRE Sanoma-Lake-Napa Unit	/incidents/2013/6/18/california-fire/			48	2013-06-18T22:30:00Z		Off Lake Herman Rd, west of Hwy 680 in Benicia	California Fire	The California Fire started in June 2013 off Lake Herman Road, west of Highway 680 in Benicia in Solano County.	California Fire, June 2013, Lake Herman Road, Highway 680, Benicia, Solano County	2013-06-18T15:18:00Z	2b403f03-fe84-450a-90b7-befb8acc7e70	2013-06-18T22:30:00Z	G1	No
2016.0	True	Shasta	40.61388	-122.46777	2016	06	11	False	CAL FIRE Shasta Trinity Unit	/incidents/2016/6/11/keswick-fire/			45	2016-06-12T15:00:00Z		near Keswick Dam Road x Iron Mountain Road N/W of Redding	Keswick Fire	The Keswick Fire, in Shasta County, near Keswick Dam Road at Iron Mountain Road northwest of Redding burned in June 2016.	Keswick Fire, Shasta County, Keswick Dam Road, Iron Mtn. Road, Northwest of Redding	2016-06-11T16:02:00Z	20e4887c-b772-460d-98be-d60f39171aeb	2016-06-12T15:00:00Z	G1	No
2018.0	False	San Bernardino	34.17711	-117.15381	2018	06	30	False	San Bernardino National Forest	/incidents/2018/6/30/creek-fire/			36	2019-01-04T09:57:00Z		Hwy 330 and Old City Creek Rd, Community of Running Springs	Creek Fire	The Creek Fire Started on June 30 2018 near Hwy 330 and Old City Creek Rd, Community of Running Springs (San Bernardino County).  The fire was contained on July 10, 2018 and burned 33 acres.	Creek Fire, Highway 330, Old City Creek Rd, Running Springs, San Bernardino County	2018-06-30T12:12:00Z	d4618db6-e417-4590-8c1f-9b5ace341bb3	2019-01-04T09:57:00Z	G1	No
2014.0	False	Kern	35.642	-118.15	2014	07	11	False	Sequoia National Forest	/incidents/2014/7/11/nicolls-fire/			15	2014-07-21T14:45:00Z		Kelso Valley/Onyx area	Nicolls Fire	The Nicolls Fire started on July 11, 2014 in the Kelso Valley/Onyx area and burned 1,680 acres.	Nicolls Fire, Kern County, Kelso Valley, Onyx, Sequoia National Forest, USFS	2014-07-11T13:46:00Z	45abd556-f41f-4507-91a5-1cf2f751bb4c	2014-07-21T14:45:00Z	G1	No
2014.0	False	Tehama	40.134597	-121.790183	2014	01	02	False	Lassen National Forest	/incidents/2014/1/2/campbell-fire/			52	2014-01-10T18:30:00Z		Ishi Wilderness, north of Campbellville in the Lassen National Forest	Campbell Fire	The Campbell Fire started on January 2, 2014 and burned 865 acres in the Ishi Wilderness, north of Campbellville on the Lassen National Forest in Tehama County.	Lassen National Forest, USFS, Lassen National Forest, Tehama, Campbell Fire, Campbellville, Ishi Wilderness	2014-01-02T20:00:00Z	353e7df7-440c-4c41-a27c-b35bb1e2831c	2014-01-10T18:30:00Z	G1	No
2017.0	True	Orange	33.8668	-117.68598	2017	09	25	False	CAL FIRE Riverside / USFS / Orange County Fire Authority / Anaheim Fire / Corona Fire Department	/incidents/2017/9/25/canyon-fire/			30	2018-03-28T11:36:00Z		CA-91 and Cole Canyon, City of Anaheim	Canyon Fire	The Canyon Fire started on September 25, 2017 off CA-91 and Cole Canyon, City of Anaheim in Orange County and burned 2,662 acres.	Canyon Fire, Orange County, Anaheim City, September 25, 2017	2017-09-25T13:03:00Z	0176a674-c102-4854-92af-7d09aa3e1430	2018-03-28T11:36:00Z	G1	No
2013.0	True	Amador	38.27783	-120.966016	2013	06	12	False	CAL FIRE Amador-El Dorado Unit	/incidents/2013/6/12/roadrunner-fire/			3	2013-06-13T09:45:00Z		Roadrunner Drive, south of Ione	Roadrunner Fire	The Roadrunner Fire burned in June 2013 off Roadrunner Drive south of Ione in Amador County.	Roadrunner Fire, June 2013, Roadrunner Drive, Ione, Amador County	2013-06-12T16:43:00Z	bf59bc5b-1398-4ae5-adef-6f61b9ee1b90	2013-06-13T09:45:00Z	G1	No
2019.0	True	San Diego	32.62305556	-116.91416667	2019	06	29	False	CAL FIRE San Diego County Fire Unit	/incidents/2019/6/29/otay-fire/			37	2019-06-30T16:50:00Z		East of the Lower Otay Reservoir, East of Chula Vista	Otay Fire	Otay Fire started on June 29, 2019 East of the Lower Otay Reservoir, East of Chula Vista in San Diego County.		2019-06-29T11:11:55Z	c51a2db5-6d0b-4b4a-8692-a6d73714829f	2019-07-01T13:10:46.69Z	G1	No
2017.0	True	Riverside	33.950382	-116.884446	2017	06	15	False	CAL FIRE / Riverside County Fire	/incidents/2017/6/15/canyon-fire/			33	2018-01-09T10:33:00Z		Banning	Canyon Fire	The Canyon Fire started on July 15, 2017 near Banning in Riverside County and burned 105 acres.	Canyon Fire, Banning, Riverside County, June 107,	2017-06-15T11:36:00Z	380df891-161a-44c7-a244-d7dda9d5fd32	2018-01-09T10:33:00Z	G1	No
2017.0	True	San Bernardino	34.21829	-117.40625	2017	12	05	False	Unified Command: CAL FIRE / San Bernardino County Fire	/incidents/2017/12/5/meyers-fire/			36	2018-01-09T13:47:00Z		near the Hwy 15 and Hwy 215 junction, near Glen Helen Regional Park	Meyers Fire	The Meyers fire started on December 5, 2017 near the Hwy 15 and Hwy 215 junction, near Glen Helen Regional Park in San Bernardino County.	Meyers Fire, December 5, 2017, San Bernardino County	2017-12-05T13:28:00Z	c5783ba0-227e-4ff6-9d7d-61532ccd469b	2018-01-09T13:47:00Z	G1	No
2019.0	False	Alameda	37.75427	-121.57382	2019	06	21	False	Alameda County Fire	/incidents/2019/6/21/mountain-fire/			1	2019-06-24T11:06:00Z		off Grant Line Rd and Mountain House Rd	Mountain Fire	The Mountain Fire started June 21, 2019 off Grant Line Rd and Mountain House Rd in Alameda County and burned 30 acres. It was contained June 21, 2019.	June 2019	2019-06-21T14:42:00Z	bc5d73ab-3100-4117-9978-a99b8e3daf5c	2019-06-24T11:06:00Z	G1	No
2018.0	True	Kern	35.1234	-118.72905	2018	06	29	False	CAL FIRE Kern County Fire	/incidents/2018/6/29/sheep-fire/			15	2019-01-04T09:57:00Z		Comanche Point Rd, 3 miles south of Arvin	Sheep Fire	The Sheep Fire started June 29 2018 near Comanche Point Rd, south of Arvin (Kern County)	Sheep Fire, Comanche Point Rd, Arvin, Kern County	2018-06-29T17:53:00Z	d7365a2a-a113-4693-92d3-152f52b0d743	2019-01-04T09:57:00Z	G1	No
2015.0	True	Contra Costa	37.81629	-121.68113	2015	07	30	False	CAL FIRE Santa Clara Unit	/incidents/2015/7/30/vasco-fire/			7	2015-07-30T16:00:00Z		Vasco Rd,  3 miles southwest of Byron	Vasco Fire	The Vasco Fire started on July 30, 2015 and burned 195 acres off Vasco Rd., 3 miles southwest of Byron in Contra Costa County.	Vasco Fire, Contra Costa County, Vasco Rd., July 30, 2015.	2015-07-30T11:18:00Z	652938d9-2f23-41d8-a49c-30b218594762	2015-07-30T16:00:00Z	G1	No
2019.0	True	Fresno	36.154184	-120.634179	2019	09	30	False	CAL FIRE Fresno-Kings Unit	/incidents/2019/9/30/frame-fire/			10			Hwy 198 x Frame Rd, east of Monterey County Line	Frame Fire	The Frame Fire started on September 30, 2019 off Hwy 198 x Frame Rd, east of Monterey County Line (Fresno County)		2019-09-30T17:39:00Z	05b9432b-a5cf-4a8f-bf0e-9b95a04bbdde	2019-10-02T16:03:34.17Z	G1	No
2017.0	False	San Bernardino	34.14575	-117.17813	2017	06	27	False	USFS - San Bernardino National Forest	/incidents/2017/6/27/mart-fire/			36	2018-01-09T11:09:00Z		Highland Ave and City Creek Road, Highland	Mart Fire	The Mart Fire started on June 27, 2017 off Highland Ave and City Creek Road, Highland in San Bernardino County and burned 670 acres.	San Bernardino National Forest, Highland Ave, City Creek Road, Highland, Mart Fire, June 2017	2017-06-27T15:22:00Z	a3159a43-d38c-4655-9acf-371bc9a6213b	2018-01-09T11:09:00Z	G1	No
2017.0	True	Riverside	33.763304	-117.314994	2017	07	07	False	CAL FIRE / Riverside County Fire	/incidents/2017/7/7/christmas-fire/			33	2018-01-09T11:46:00Z		off Christmas Tree Ln & Santa Rosa Mine Rd, in Good Meadow	Christmas Fire	The Christmas Fire started on July 7, 2017 off Christmas Tree Ln & Santa Rosa Mine Rd, in Good Meadow (Riverside County) and burned 33 acres.	Christmas Fire, Christmas Tree Lane, Santa Rosa Mine Road, Good Meadow, Riverside County, July 2017	2017-07-07T12:56:00Z	bc89aab5-5f30-46a2-9881-6dbae22893b6	2018-01-09T11:46:00Z	G1	No
2017.0	True	Butte	39.76243	-121.74121	2017	07	19	False	Unified Command: CAL FIRE/Butte County and Chico Fire Department	/incidents/2017/7/19/humboldt-fire/			4	2018-04-12T14:52:00Z		Humboldt Rd & Hwy 32, 2 miles east of Chico	Humboldt Fire	The Humboldt Fire started on July 19, 2017 off of Humboldt Rd & Hwy 32, 2 miles east of Chico in Butte County and burned 103 acres.	Humboldt Rd,Hwy 32, Chico, July 2017, Butte County, Humboldt Fire	2017-07-19T16:02:00Z	510c877d-b80b-423f-b7e0-4276ce646f4a	2018-04-12T14:52:00Z	G1	No
2017.0	False	Stanislaus	38.329	-119.782	2017	07	31	False	Stanislaus National Forest	/incidents/2017/7/31/summit-complex/			50	2018-01-09T12:15:00Z		The Summit Complex consists of 3 fires burning on the Summit Ranger District of the Stanislaus National Forest.	Summit Complex	The Summit fire started on July 31, 2017. The Summit Complex consists of 4 fires burning on the Summit Ranger District of the Stanislaus National Forest (Stanislaus County).	Summit Complex, Stanislaus County, July 2017, Stanislaus National Forest.	2017-07-31T13:44:00Z	68328f20-5aed-404d-8c29-81b4b69e8439	2019-07-01T13:07:49.237Z	G1	No
2013.0	True	Lake	39.1591	-122.5906	2013	08	07	False	CAL FIRE Sanoma-Lake-Napa Unit	/incidents/2013/8/7/indian-fire/			17	2013-08-07T18:30:00Z		Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks	Indian Fire	The Indian Fire burned in August 2013 off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks in Lake County.	Indian Fire, August 2013, Batlett Springs Road, Indian Valley Reservoir, Clearlake Oaks, Lake County	2013-08-07T12:35:00Z	b5b63934-923d-4504-a9b1-75c885477a8d	2013-08-07T18:30:00Z	G1	No
2018.0	True	Tehama	40.00293	-122.44008	2018	07	14	False	CAL FIRE Tehama-Glenn Unit	/incidents/2018/7/14/lariat-fire/			52	2019-01-04T09:46:00Z		off Oakridge Rd & Horseshoe Dr, Rancho Tehama, southwest of Red Bluff	Lariat Fire	The Lariat Fire started on July 14, 2018 off Oakridge Rd & Horseshoe Dr, Rancho Tehama, southwest of Red Bluff in Tehama County. It was contained on July 16, 2018.	Tehama County, Lariat Fire, July 2018	2018-07-14T20:40:00Z	15d8c9e7-7029-4027-85d8-95f308f83790	2019-01-04T09:46:00Z	G1	No
2018.0	True	San Luis Obispo	35.70086	-120.97339	2018	07	17	False	CAL FIRE San Luis Obispo Unit	/incidents/2018/7/17/camp-fire/			40	2019-01-04T09:41:00Z		off Gage Irving Road, South Lake Nacimiento	Camp Fire	The Camp Fire started on July 17, 2018 off Gage Irving Road, South Lake Nacimiento (San Luis Obispo County). It burned 14 acres and was contained on July 19, 2018.	Camp Fire, July 2018, San Luis Obispo	2018-07-17T11:13:00Z	0194a44a-0c12-4e47-a053-f3b9b2382858	2019-01-04T09:41:00Z	G1	No
2018.0	True	Fresno	36.75581	-119.42172	2018	05	26	False	CAL FIRE Fresno-Kings Unit	/incidents/2018/5/26/cobble-fire/			10	2019-01-04T10:22:00Z		Cobblestone Lane and Thernal Road, Tivy Valley	Cobble Fire	The Cobble Fire started on May 26, 2018 off Cobblestone Lane and Thernal Road, Tivy Valley in Fresno County. The fire burned 108 acres and was 100% contained on May 27, 2018.	Cobble Fire,  May 26, 2018, Tivy Valley, Fresno County.	2018-05-26T14:52:00Z	737f9bb2-5a43-4730-94c1-4031bce6d626	2019-01-04T10:22:00Z	G1	No
2017.0	True	Riverside	33.75526	-117.25075	2017	07	18	False	CAL FIRE/Riverside County Fire	/incidents/2017/7/18/ellis-fire/			33	2018-01-09T12:01:00Z		off of Mc Pherson Road, Perris	Ellis Fire	The Ellis Fire started on July 18, 201 off of Mc Pherson Rd in Perris in Riverside County and burned 72 acres.	Perris, Mc Pherson Rd, Riverside County, July 2017, Ellis Fire	2017-07-18T15:34:00Z	244961af-65d5-472b-972f-e02df96e9ccb	2018-01-09T12:01:00Z	G1	No
2017.0	True	Riverside	33.96419	-117.20507	2017	05	21	False	CAL FIRE/ Riverside County Fire	/incidents/2017/5/21/smiley-fire/			33	2018-01-09T10:07:00Z		Reche Canyon Road and Smiley Boulevard	Smiley Fire	The Smiley Fire started on May 21, 2017, off of Reche Canyon Road and Smiley Boulevard, north of Moreno Valley, Riverside County and burned 35 acres.	Smiley Fire, May 2017, off of Reche Canyon Road and Smiley Boulevard, north of Moreno Valley, Riverside County	2017-05-21T16:12:00Z	54ddf2ef-28b0-4c34-bfe0-1d084f4f57e2	2018-01-09T10:07:00Z	G1	No
2018.0	False	Kern	35.51777778	-118.6525	2018	08	18	False	USFS Sequoia National Forest	/incidents/2018/8/18/call-fire/			15	2019-01-04T09:16:00Z		off Cow Flat Road and Highway 178, west of Lake Isabella	Call Fire	The Call Fire started August 18, 2018 off Cow Flat Road and Highway 178, west of Lake Isabella (Kern County). This fire was contained on August 24, 2018 and burned 367 acres.	August 18, 2018, Call Fire, Kern County	2018-08-18T15:17:00Z	5eab06a3-5deb-4934-98a7-7c42eb86cbf9	2019-01-04T09:16:00Z	G1	No
2019.0	True	Siskiyou	41.94622	-122.40157	2019	06	16	False	CAL FIRE Siskiyou Unit	/incidents/2019/6/16/irongate-fire/			47	2019-06-21T14:23:00Z		Deer Run Road, east of Iron Gate Reservoir	IronGate Fire	The IronGate Fire started on June 16, 2019 off Deer Run Road, east of Iron Gate Reservoir in Siskiyou County and burned 10 acres. It was contained June 17, 2019.		2019-06-16T20:33:00Z	fe63d965-9069-4a96-b9da-99d5fefdaa19	2019-07-03T13:12:42.677Z	G1	No
2017.0	True	Riverside	33.82165	-116.96079	2017	06	03	False	CAL FIRE / Riverside County Fire	/incidents/2017/6/3/vernon-fire/			33	2018-01-09T10:24:00Z		Off Soboba Road in San Jacinto	Vernon Fire	The Vernon Fire started on June 3, 2017 off Soboba Road in San Jacinto (Riverside County) and burned 27 acres.	Vernon Fire, Soboba Road, San Jacinto, Riverside County, June 2017	2017-06-03T12:09:00Z	b0ffe2e4-ae61-4ad9-b1cc-bf31ff254d8d	2018-01-09T10:24:00Z	G1	No
2019.0	True	Riverside	33.463991	-116.914799	2019	08	27	False	CAL FIRE / Riverside County Fire	/incidents/2019/8/27/sage-fire/			33	2019-08-27T08:54:00Z		near the intersection of Sage Road and Highway 79, in Aguanga	Sage Fire	The Sage Fire started on August 27, 2019 near the intersection of Sage Road and Highway 79, in Aguanga in Riverside County.		2019-08-27T11:33:56Z	faf6064e-fc50-4289-8486-1235f20289d7	2019-08-28T08:55:30.933Z	G1	No
2019.0	True	San Diego	32.566389	-116.7525	2019	07	12	False	CAL FIRE San Diego County Fire	/incidents/2019/7/12/border-fire/			37	2019-07-15T17:10:00Z		Off of Cottonwood Creak and Barrett Truck Trail along the US/Mexico border	Border Fire	Cottonwood Fire started on July 12, 2019 off of Cottonwood Creak and Barrett Truck Trail along the US/Mexico border in San Diego County.		2019-07-12T13:20:39Z	8c46fde6-7a1c-482b-97cc-afff1bc5d27c	2019-07-15T21:56:00.203Z	G1	No
2019.0	True	Fresno	36.66909	-119.3046	2019	05	29	False	CAL FIRE / Fresno County Fire	/incidents/2019/5/29/hill-fire/			10	2019-06-05T15:07:00Z		S. Hills Valley Road, north of Orange Cove	Hill Fire	The Hill Fire started on May 29, 2019 off  S. Hills Valley Road, north of Orange Cove (Fresno County) and burned 121 acres. It was contained June 1, 2019.	May 2019	2019-05-29T17:18:00Z	72cb3684-c194-4180-bdfe-22775f86a594	2019-06-05T15:07:00Z	G1	No
2018.0	False	Marin	38.07135	-122.76751	1969	12	31	False	Marin County Fire	/incidents/2018/12/31/bridge-fire/			21	2019-01-04T09:22:00Z		Platform Bridge Rd. and Point Reyes Station, northeast of Olema	Bridge Fire	The Bridge Fire started on August 8, 2018 at Platform Bridge Road and Point Reyes Station, northeast of Olema (Marin County) and burned 45 acres. It was contained August 9, 2018.	Bridge Fire, August 2018, Marin County	1969-12-31T16:00:00Z	49232e73-c3ba-4dc3-b673-b973a918fa7c	2019-01-04T09:22:00Z	G1	No
2013.0	True	Lake	38.98058	-122.81796	2013	06	20	False	CAL FIRE Sanoma-Lake-Napa Unit	/incidents/2013/6/20/mount-fire/			17	2013-06-20T13:15:00Z		Off Konocti Rd & Oak Hills Ln, east of Kelseyville	Mount Fire	The Mount Fire burned in June 2013 off Konocti Road and Oak Hills Lane, east of Kelseyville, in Lake County	Mount Fire, Konocti Road, Oak Hills Lane, Kelseyville, June 2013, Lake County	2013-06-20T14:29:00Z	d489b45e-dcba-4eaa-8bb5-6a23255562da	2013-06-20T13:15:00Z	G1	No
